Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT,Tradecount
2022-03-27 00:00:00,BTC/USDT,44511.27000000,44591.37000000,44484.11000000,44551.52000000,680.21108000,30297786.36814570,22011
2022-03-26 00:00:00,BTC/USDT,44313.16000000,44792.99000000,44071.97000000,44511.27000000,23041.61741000,1022802857.60941000,693647
2022-03-25 00:00:00,BTC/USDT,43991.46000000,45094.14000000,43579.00000000,44313.16000000,54614.43648000,2421153187.66041000,1141588
2022-03-24 00:00:00,BTC/USDT,42882.76000000,44220.89000000,42560.46000000,43991.46000000,56195.12374000,2436258223.62234000,1202541
2022-03-23 00:00:00,BTC/USDT,42364.13000000,43025.96000000,41751.47000000,42882.76000000,40828.87039000,1725787170.58240000,916671
2022-03-22 00:00:00,BTC/USDT,41002.26000000,43361.00000000,40875.51000000,42364.13000000,59454.94294000,2525975507.80120000,1367343
2022-03-21 00:00:00,BTC/USDT,41262.11000000,41544.22000000,40467.94000000,41002.25000000,39426.24877000,1618789548.06842000,947206
2022-03-20 00:00:00,BTC/USDT,42201.13000000,42296.26000000,40911.00000000,41262.11000000,30653.33468000,1273880705.25025000,799695
2022-03-19 00:00:00,BTC/USDT,41757.51000000,42400.00000000,41499.29000000,42201.13000000,29067.18108000,1216709156.44281000,801197
2022-03-18 00:00:00,BTC/USDT,40917.89000000,42325.02000000,40135.04000000,41757.51000000,45408.00969000,1862337033.48472000,1065054
2022-03-17 00:00:00,BTC/USDT,41114.01000000,41478.82000000,40500.00000000,40917.90000000,37189.38087000,1521083189.71086000,935784
2022-03-16 00:00:00,BTC/USDT,39280.33000000,41718.00000000,38828.48000000,41114.00000000,88120.76167000,3552563766.36554000,2051837
2022-03-15 00:00:00,BTC/USDT,39671.37000000,39887.61000000,38098.33000000,39280.33000000,46015.54926000,1796571984.45850000,1060517
2022-03-14 00:00:00,BTC/USDT,37777.35000000,39947.12000000,37555.00000000,39671.37000000,46945.45375000,1821922588.44721000,1114899
2022-03-13 00:00:00,BTC/USDT,38807.35000000,39310.00000000,37578.51000000,37777.34000000,32791.82359000,1268441605.18669000,841844
2022-03-12 00:00:00,BTC/USDT,38729.57000000,39486.71000000,38660.52000000,38807.36000000,24034.36432000,939663387.31498900,671733
2022-03-11 00:00:00,BTC/USDT,39422.01000000,40236.26000000,38223.60000000,38729.57000000,59018.76420000,2305825015.60109000,1252571
2022-03-10 00:00:00,BTC/USDT,41941.70000000,42039.63000000,38539.73000000,39422.00000000,71950.25677000,2853792081.10771000,1512384
2022-03-09 00:00:00,BTC/USDT,38730.63000000,42594.06000000,38656.45000000,41941.71000000,67392.58799000,2797240840.96075000,1570230
2022-03-08 00:00:00,BTC/USDT,37988.01000000,39362.08000000,37867.65000000,38730.63000000,55528.43367000,2147541837.68825000,1269742
2022-03-07 00:00:00,BTC/USDT,38420.80000000,39547.57000000,37155.00000000,37988.00000000,63941.20316000,2447310342.46662000,1454770
2022-03-06 00:00:00,BTC/USDT,39397.97000000,39693.87000000,38088.57000000,38420.81000000,39677.26158000,1542258009.62922000,986352
2022-03-05 00:00:00,BTC/USDT,39148.65000000,39613.24000000,38407.59000000,39397.96000000,30363.13341000,1187689935.08799000,879727
2022-03-04 00:00:00,BTC/USDT,42454.00000000,42527.30000000,38550.00000000,39148.66000000,61964.68498000,2527001270.71947000,1465066
2022-03-03 00:00:00,BTC/USDT,43892.99000000,44101.12000000,41832.28000000,42454.00000000,50940.61021000,2192152097.92519000,1289320
2022-03-02 00:00:00,BTC/USDT,44421.20000000,45400.00000000,43334.09000000,43892.98000000,57782.65081000,2550792948.28862000,1653131
2022-03-01 00:00:00,BTC/USDT,43160.00000000,44949.00000000,42809.98000000,44421.20000000,61743.09873000,2701611023.69432000,1866871
2022-02-28 00:00:00,BTC/USDT,37699.08000000,44225.84000000,37450.17000000,43160.00000000,73945.63858000,2975160226.16899000,1931087
2022-02-27 00:00:00,BTC/USDT,39116.73000000,39855.70000000,37000.00000000,37699.07000000,46229.44719000,1780512702.88640000,1265753
2022-02-26 00:00:00,BTC/USDT,39219.16000000,40348.45000000,38573.18000000,39116.72000000,29361.25680000,1152621719.69438000,924257
2022-02-25 00:00:00,BTC/USDT,38328.68000000,39683.53000000,38014.37000000,39219.17000000,56574.57125000,2197889580.28267000,1408558
2022-02-24 00:00:00,BTC/USDT,37250.02000000,39843.00000000,34322.28000000,38327.21000000,120476.29458000,4335107392.00949000,2622780
2022-02-23 00:00:00,BTC/USDT,38230.33000000,39249.93000000,37036.79000000,37250.01000000,43560.73200000,1665486687.23994000,1030872
2022-02-22 00:00:00,BTC/USDT,37008.16000000,38429.00000000,36350.00000000,38230.33000000,53785.94589000,2010628230.75492000,1212527
2022-02-21 00:00:00,BTC/USDT,38386.89000000,39494.35000000,36800.00000000,37008.16000000,62347.68496000,2382027320.86176000,1352290
2022-02-20 00:00:00,BTC/USDT,40079.17000000,40125.44000000,38000.00000000,38386.89000000,33439.29011000,1293216601.45188000,811235
2022-02-19 00:00:00,BTC/USDT,39974.45000000,40444.32000000,39639.03000000,40079.17000000,18042.05510000,721960636.06466900,586653
2022-02-18 00:00:00,BTC/USDT,40515.71000000,40959.88000000,39450.00000000,39974.44000000,43845.92241000,1765622365.95276000,1025882
2022-02-17 00:00:00,BTC/USDT,43873.56000000,44164.71000000,40073.21000000,40515.70000000,47245.99494000,1993400162.94807000,1067658
2022-02-16 00:00:00,BTC/USDT,44544.85000000,44549.97000000,43307.00000000,43873.56000000,28471.87270000,1250973502.30185000,823745
2022-02-15 00:00:00,BTC/USDT,42535.94000000,44751.40000000,42427.03000000,44544.86000000,38095.19576000,1672855933.62566000,990694
2022-02-14 00:00:00,BTC/USDT,42053.65000000,42842.40000000,41550.56000000,42535.94000000,34010.13060000,1436927831.44459000,867622
2022-02-13 00:00:00,BTC/USDT,42217.87000000,42760.00000000,41870.00000000,42053.66000000,17732.08113000,750533311.65295700,624898
2022-02-12 00:00:00,BTC/USDT,42373.73000000,43079.49000000,41688.88000000,42217.87000000,26556.85681000,1123136004.72372000,830322
2022-02-11 00:00:00,BTC/USDT,43495.44000000,43920.00000000,41938.51000000,42373.73000000,44975.16870000,1937866768.50595000,1169354
2022-02-10 00:00:00,BTC/USDT,44372.71000000,45821.00000000,43174.01000000,43495.44000000,62357.29091000,2772188373.22278000,1541483
2022-02-09 00:00:00,BTC/USDT,44043.00000000,44799.00000000,43117.92000000,44372.72000000,34428.16729000,1512500139.14310000,1066395
2022-02-08 00:00:00,BTC/USDT,43839.99000000,45492.00000000,42666.00000000,44042.99000000,64880.29387000,2847485971.49773000,1653350
2022-02-07 00:00:00,BTC/USDT,42380.87000000,44500.50000000,41645.85000000,43839.99000000,51060.62006000,2204523609.90340000,1473274
2022-02-06 00:00:00,BTC/USDT,41382.60000000,42656.00000000,41116.56000000,42380.87000000,22405.16704000,934168802.88011500,788291
2022-02-05 00:00:00,BTC/USDT,41571.70000000,41913.69000000,40843.01000000,41382.59000000,32532.34372000,1349805515.93004000,1006352
2022-02-04 00:00:00,BTC/USDT,37311.98000000,41772.33000000,37026.73000000,41574.25000000,64703.95874000,2526572562.05829000,1380724
2022-02-03 00:00:00,BTC/USDT,36896.37000000,37387.00000000,36250.00000000,37311.61000000,32081.10999000,1179502838.65663000,848961
2022-02-02 00:00:00,BTC/USDT,38694.59000000,38855.92000000,36586.95000000,36896.36000000,35794.68130000,1353093948.97760000,907905
2022-02-01 00:00:00,BTC/USDT,38466.90000000,39265.20000000,38000.00000000,38694.59000000,34574.44663000,1334266166.71000000,917617
2022-01-31 00:00:00,BTC/USDT,37881.75000000,38744.00000000,36632.61000000,38466.90000000,36855.24580000,1386754529.02954000,936014
2022-01-30 00:00:00,BTC/USDT,38166.83000000,38359.26000000,37351.63000000,37881.76000000,21430.66527000,812750216.60103200,698593
2022-01-29 00:00:00,BTC/USDT,37716.57000000,38720.74000000,37268.44000000,38166.84000000,26129.49682000,989652386.99664900,816601
2022-01-28 00:00:00,BTC/USDT,37160.11000000,38000.00000000,36155.01000000,37716.56000000,42154.26956000,1560203931.22013000,1061101
2022-01-27 00:00:00,BTC/USDT,36807.24000000,37234.47000000,35507.01000000,37160.10000000,53020.87934000,1925920128.34366000,1308408
2022-01-26 00:00:00,BTC/USDT,36958.32000000,38919.98000000,36234.63000000,36809.34000000,69830.16036000,2627491976.69086000,1584468
