Date,Area,"Sales, $ Volume","Sales, Number of",Average Sale Price,Lat,Lon
11/30/21,360 - Skyway Area,13489130,21,642339.52,47.4857383,-122.2541974
11/30/21,380 - Southeast Seattle,71822109,88,816160.33,47.5338342,-122.2742252
11/30/21,385 - SODO/Beacon Hill,25298696,34,744079.29,47.549974,-122.289845
11/30/21,390 - Central Seattle,157056403,103,1524819.45,47.606362,-122.305572
11/30/21,45 - South Tacoma,5325500,13,409653.85,47.2310107,-122.4918364
11/30/21,51 - South Tacoma,6932250,18,385125,47.217491,-122.44232
11/30/21,52 - South Tacoma,8282163,21,394388.71,47.176882,-122.439772
11/30/21,53 - South Tacoma,5302100,13,407853.85,47.170285,-122.442375
11/30/21,58 - Southeast Tacoma,4393406,11,399400.55,47.21658,-122.419811
11/30/21,610 - Southeast Snohom,2571000,3,857000,47.784385,-122.026153
11/30/21,62 - Southeast Tacoma,5100450,12,425037.5,47.1819879,-122.4318
11/30/21,67 - Parkland,4652950,9,516994.44,47.115402,-122.37525
11/30/21,68 - Parkland,9885950,22,449361.36,47.121699,-122.399641
11/30/21,69 - Parkland,5788277,14,413448.36,47.152973,-122.377546
11/30/21,700 - Queen Anne/Magno,85230970,52,1639057.12,47.643584,-122.357842
11/30/21,705 - Ballard/Greenlak,222049672,231,961253.99,47.686183,-122.329708
11/30/21,710 - North Seattle,113841292,105,1084202.78,47.675515,-122.306207
11/30/21,740 - Everett/Mukilteo,90604958,137,661350.06,47.870178,-122.307482
11/30/21,79 - Puyallup,5085000,8,635625,47.198748,-122.364408
11/30/21,94 - Browns Point,13532000,23,588347.83,47.298577,-122.396309
11/30/21,99 - Spanaway,7225900,14,516135.71,47.055303,-122.364094
2/28/22,130 - Burien/Normandy,10878888,17,639934.59,47.449212,-122.274963
2/28/22,140 - West Seattle,75312272,85,886026.73,47.51571,-122.37164
2/28/22,21 - North Tacoma,2631000,3,877000,47.268957,-122.464522
2/28/22,22 - North Tacoma,2644000,4,661000,47.2625305,-122.4709374
2/28/22,23 - North Tacoma,8572500,15,571500,47.26391,-122.498172
2/28/22,16 - North Tacoma,3105000,5,621000,47.2705094,-122.5108921
2/28/22,25 - North Tacoma,5059000,6,843166.67,47.287317,-122.505895
2/28/22,360 - Skyway Area,8654000,14,618142.86,47.4857383,-122.2541974
2/28/22,380 - Southeast Seattle,40788428,47,867838.89,47.5338342,-122.2742252
2/28/22,385 - SODO/Beacon Hill,22737425,29,784049.14,47.549974,-122.289845
2/28/22,390 - Central Seattle,65290050,52,1255577.88,47.606362,-122.305572
2/28/22,45 - South Tacoma,3723000,7,531857.14,47.2310107,-122.4918364
2/28/22,47 - South Tacoma,3750900,9,416766.67,47.214384,-122.481703
2/28/22,51 - South Tacoma,4246125,10,424612.5,47.217491,-122.44232
2/28/22,53 - South Tacoma,3196000,8,399500,47.170285,-122.442375
2/28/22,61 - Southeast Tacoma,4340500,9,482277.78,47.202831,-122.403734
2/28/22,67 - Parkland,4937000,10,493700,47.115402,-122.37525
2/28/22,68 - Parkland,4834500,10,483450,47.121699,-122.399641
2/28/22,69 - Parkland,4459000,10,445900,47.152973,-122.377546
2/28/22,700 - Queen Anne/Magno,51595727,33,1563506.88,47.643584,-122.357842
2/28/22,705 - Ballard/Greenlak,149374743,145,1030170.64,47.686183,-122.329708
2/28/22,710 - North Seattle,69714429,56,1244900.52,47.675515,-122.306207
2/28/22,740 - Everett/Mukilteo,61250158,82,746953.15,47.870178,-122.307482
2/28/22,94 - Browns Point,8879999,13,683076.85,47.298577,-122.396309
2/28/22,99 - Spanaway,5267500,9,585277.78,47.055303,-122.364094
